"sku","_store","_attribute_set","_type","_category","_root_category","_product_websites","author","book_year","color","condition","cost","country_of_manufacture","created_at","custom_design","custom_design_from","custom_design_to","custom_layout_update","description","edition","format","gallery","gift_message_available","has_options","image","image_label","isbn_number","is_used","manufacturer","media_gallery","meta_description","meta_keyword","meta_title","minimal_price","msrp","msrp_display_actual_price_type","msrp_enabled","name","news_from_date","news_to_date","options_container","page_layout","price","publisher","rental_return_date","rent_price","required_options","searchindex_weight","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","updated_at","url_key","url_path","visibility","weight","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_group_price_website","_group_price_customer_group","_group_price_price","_media_attribute_id","_media_image","_media_lable","_media_position","_media_is_disabled"
"","","","","Deakin University/MAA363 - Corporate Accounting","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","La Trobe University","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","La Trobe University/ACC2CRE - Corporate Reporting","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","La Trobe University/ACC3AFA - Advanced Financial Accounting","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Melbourne","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Melbourne/ACCT90012 - Corporate Reporting","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780730300267","","Default","simple","Australian Catholic University","Default Category","base","Michaela Rankin","2012","","","","Australia","2015-08-16 7:29","","","","","","1st","Paperback","","","0","/9/7/9780730300267.jpg","","9780730300267","","","","","","","","145.95","Use config","Use config","Contemporary Issues in Accounting","","","Block after Info Column","","131.36","John Wiley & Sons Australia Ltd","2016-7-10 0:00","50.00","0","","","/9/7/9780730300267.jpg","","","","","1","2","/9/7/9780730300267.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/ACCT304 - Accounting Theory","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781875622900","","Default","simple","Australian Catholic University","Default Category","base","Beverly Derewianka","2011","","","","Australia","2015-08-16 7:29","","","","","","2011","Paperback","","","0","/9/7/9781875622900.jpg","","9781875622900","","","","","","","","36.95","Use config","Use config","A New Grammar Companion for Teachers","","","Block after Info Column","","33.26","Primary English Teaching Association (PETA)","2016-7-10 0:00","","0","","","/9/7/9781875622900.jpg","","","","","1","2","/9/7/9781875622900.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/ADLA107 - Linguistics For Literacy","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780730315490","","Default","simple","Australian Catholic University","Default Category","base","BURTON","2014","","","","Australia","2015-08-16 7:29","","","","","","4 Rev ed","Multiple copy pack","","","0","/9/7/9780730315490.jpg","","9780730315490","","","","","","","","148.95","Use config","Use config","Psychology 4E Au & Nz+psychology 4E Au & NZ Istudy Version 2 with Cyberpsych Card","","","Block after Info Column","","132.00","John Wiley & Sons Australia Ltd","2016-7-10 0:00","","0","","","/9/7/9780730315490.jpg","","","","","1","2","/9/7/9780730315490.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/ALHT106 - Allied Health for Psychology","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781486042197","","Default","simple","Australian Catholic University","Default Category","base","Berk J et al","2013","","","","Australia","2015-08-16 7:29","","","","","","2nd","Shrinkwrap","","","0","/9/7/9781486042197.jpg","","9781486042197","","","","","","","","173.97","Use config","Use config","Fundamentals of Corporate Finance + MyFinanceLab with eBook (new copies only)","","","Block after Info Column","","160.05","Pearson Education Australia","2016-7-10 0:00","70.00","0","","","/9/7/9781486042197.jpg","","","","","1","2","/9/7/9781486042197.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/BAFN200 - Principles of Business Finance","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","La Trobe University","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","La Trobe University/DBA1FOF - Fundamental of Finance","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","La Trobe University/FIN1FOF - Finance","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9314994244069","","Default","simple","Australian Catholic University","Default Category","base","Gitman Juchau & Flanagan","2010","","","","Australia","2015-08-16 7:29","","","","","","6th","Paperback","","","0","/9/3/9314994244069.jpg","","9314994244069","","","","","","","","179.43","Use config","Use config","Principles of Managerial Finance 6ed with MyFinanceLab","","","Block after Info Column","","165.08","Pearson Education Asia","2016-7-10 0:00","","0","","","/9/3/9314994244069.jpg","","","","","1","2","/9/3/9314994244069.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/BAFN600 - Finance And Quantitative Methods","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781488607882","","Default","simple","Australian Catholic University","Default Category","base","""Martini, Nath, Bartholomew""","2014","","","","Australia","2015-08-16 7:29","","","","","","10th edition","Paperback","","","0","/9/7/9781488607882.jpg","","9781488607882","","","","","","","","172.95","Use config","Use config","VPACK Fnd Anat Phys + MstA&P + Atls GE/U","","","Block after Info Column","","159.11","Pearson Education","2016-7-10 0:00","","0","","","/9/7/9781488607882.jpg","","","","","1","2","/9/7/9781488607882.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/BIOL121 - Biological Science 1","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780729539296","","Default","simple","Australian Catholic University","Default Category","base","Bronwen Bryant","2010","","","","Australia","2015-08-16 7:29","","","","","","3rd","Paperback","","","0","/9/7/9780729539296.jpg","","9780729539296","","","","","","","","134.95","Use config","Use config","Pharmacology for Health Professionals","","","Block after Info Column","","120.11","Mosby","2016-7-10 0:00","","0","","","/9/7/9780729539296.jpg","","","","","1","2","/9/7/9780729539296.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/BIOL121 - Foundation Biological Science 1","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781416045748","","Default","simple","Australian Catholic University","Default Category","base","""John E. Hall, Ph.D.""","2010","","","","Australia","2015-08-16 7:29","","","","","","12 Rev ed","Mixed media product","","","0","/9/7/9781416045748.jpg","","9781416045748","","","","","","","","149.00","Use config","Use config","Guyton and Hall Textbook of Medical Physiology","","","Block after Info Column","","132.61","Saunders","2016-7-10 0:00","81.95","0","","","/9/7/9781416045748.jpg","","","","","1","2","/9/7/9781416045748.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/BIOL121 - Foundation Biological Science 1","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781442549128","","Default","simple","Australian Catholic University","Default Category","base","Gary Lee","2012","","","","Australia","2015-08-16 7:29","","","","","","5ed","Paperback","","","0","/9/7/9781442549128.jpg","","9781442549128","","","","","","","","156.95","Use config","Use config","Microbiology and Infection Control for Health Professionals 5th Edition","","","Block after Info Column","","144.39","Pearson Education Australia","2016-7-10 0:00","86.32","0","","","/9/7/9781442549128.jpg","","","","","1","2","/9/7/9781442549128.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/BIOL121 - Foundation Biological Science 1","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Victoria University","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Victoria University/HHD2112 - Dermal Science 1","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781442563100","","Default","simple","Australian Catholic University","Default Category","base","Shane Bullock","2013","","","","Australia","2015-08-16 7:29","","","","","","7th","Paperback","","","0","/9/7/9781442563100.jpg","","9781442563100","","","","","","","","139.95","Use config","Use config","Fundamentals of Pharmacology","","","Block after Info Column","","128.75","Pearson Education Australia","2016-7-10 0:00","76.97","0","","","/9/7/9781442563100.jpg","","","","","1","2","/9/7/9781442563100.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/BIOL121 - Foundation Biological Science 1","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Melbourne","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Melbourne/NURS50003 - Nursing Science 1","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Melbourne/NURS90053 - Clients with Complex Health States","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781292074870","","Default","simple","Australian Catholic University","Default Category","base","Martini","2014","","","","Australia","2015-08-16 7:29","","","","","","10th edition","Paperback","","","0","/9/7/9781292074870.jpg","","9781292074870","","","","","","","","170.95","Use config","Use config","Fundamentals of Anatomy and Physiology Global Edition","","","Block after Info Column","","157.27","Pearson Education","2016-7-10 0:00","","0","","","/9/7/9781292074870.jpg","","","","","1","2","/9/7/9781292074870.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/BIOL121 - Foundation Biological Science 1","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780195524055","","Default","simple","Australian Catholic University","Default Category","base","Matthew Allen","2012","","","","Australia","2015-08-16 7:29","","","","","","2 Rev ed","Paperback","","","0","/9/7/9780195524055.jpg","","9780195524055","","","","","","","","59.95","Use config","Use config","Smart Thinking: Skills for Critical Understanding and Writing","","","Block after Info Column","","50.96","OUP Australia and New Zealand","2016-7-10 0:00","32.97","0","","","/9/7/9780195524055.jpg","","","","","1","2","/9/7/9780195524055.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/BUSN110 - Resposible Reasoning & Communication","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780864607805","","Default","simple","Australian Catholic University","Default Category","base","Geoffrey Kiel","2012","","","","Australia","2015-08-16 7:29","","","","","","1st","Paperback","","","0","/9/7/9780864607805.jpg","","9780864607805","","","","","","","","130.00","Use config","Use config","Directors at Work: A Practical Guide for Boards","","","Block after Info Column","","113.10","Thomson Reuters","2016-7-10 0:00","","0","","","/9/7/9780864607805.jpg","","","","","1","2","/9/7/9780864607805.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/BUSN603 - Corporate Governance","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781285051758","","Default","simple","Australian Catholic University","Default Category","base","Donald F Kuratko ","2014","","","","Australia","2015-08-16 7:29","","","","","","9th","Hardback","","","0","/9/7/9781285051758.jpg","","9781285051758","","","","","","","","157.95","Use config","Use config","""""""Entrepreneurship: Theory, Process, Practice""""""","","","Block after Info Column","","162.95","South-Western","2016-7-10 0:00","78.98","0","","","/9/7/9781285051758.jpg","","","","","1","2","/9/7/9781285051758.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/BUSN607 - Entrepreneurship","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Victoria University","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Victoria University/BMO6622 - Managing, Innovation and Entrepeneurship","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781285084763","","Default","simple","Australian Catholic University","Default Category","base","David Shepard","2014","","","","Australia","2015-08-16 7:29","","","","","","8 Rev ed","Paperback","","","0","/9/7/9781285084763.jpg","","9781285084763","","","","","","","","134.95","Use config","Use config","Introduction to Counseling: Voices from the Field","","","Block after Info Column","","116.06","Brooks/Cole","2016-7-10 0:00","","0","","","/9/7/9781285084763.jpg","","","","","1","2","/9/7/9781285084763.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/COUN106 - Intro To Counselling","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780132851817","","Default","simple","Australian Catholic University","Default Category","base","""Theodore P. Remley, Jr.""","2013","","","","Australia","2015-08-16 7:29","","","","","","4th","Paperback","","","0","/9/7/9780132851817.jpg","","9780132851817","","","","","","","","123.95","Use config","Use config","""""""Ethical, Legal, and Professional Issues in Counseling""""""","","","Block after Info Column","","114.03","Pearson","2016-7-10 0:00","68.17","0","","","/9/7/9780132851817.jpg","","","","","1","2","/9/7/9780132851817.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/COUN108 - Ethics and Legal Issues","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781111840617","","Default","simple","Australian Catholic University","Default Category","base","""Charles A Corr, PH.D., RN, Msn""","2011","","","","Australia","2015-08-16 7:29","","","","","","7 annotated ed","Paperback / softback","","","0","/9/7/9781111840617.jpg","","9781111840617","","","","","","","","139.95","Use config","Use config","""""""Death & Dying, Life & Living""""""","","","Block after Info Column","","117.56","Cengage Learning Custom Publishing","2016-7-10 0:00","","0","","","/9/7/9781111840617.jpg","","","","","1","2","/9/7/9781111840617.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/COUN214 - Grief And Loss Counselling","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781572307018","","Default","simple","Australian Catholic University","Default Category","base","James Griffith","2001","","","","Australia","2015-08-16 7:29","","","","","","1st edition","Hardback","","","0","/9/7/9781572307018.jpg","","9781572307018","","","","","","","","114.00","Use config","Use config","Encountering the Sacred in Psychotherapy: How to Talk with People About Their Spiritual Lives","","","Block after Info Column","","95.76","Guilford Publications","2016-7-10 0:00","","0","","","/9/7/9781572307018.jpg","","","","","1","2","/9/7/9781572307018.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/COUN216 - Religion And Spiritual Issues In Counsel","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781848606432","","Default","simple","Australian Catholic University","Default Category","base","Kathryn Geldard","2009","","","","Australia","2015-08-16 7:29","","","","","","3rd","Paperback","","","0","/9/7/9781848606432.jpg","","9781848606432","","","","","","","","73.00","Use config","Use config","Counselling Adolescents: The Proactive Approach for Young People","","","Block after Info Column","","61.32","SAGE Publications Ltd","2016-7-10 0:00","","0","","","/9/7/9781848606432.jpg","","","","","1","2","/9/7/9781848606432.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/COUN218 - Counselling","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781446256541","","Default","simple","Australian Catholic University","Default Category","base","Kathryn Geldard","2013","","","","Australia","2015-08-16 7:29","","","","","","4 Rev ed","Paperback","","","0","/9/7/9781446256541.jpg","","9781446256541","","","","","","","","72.00","Use config","Use config","Counselling Children: A Practical Introduction","","","Block after Info Column","","60.48","SAGE Publications Ltd","2016-7-10 0:00","39.60","0","","","/9/7/9781446256541.jpg","","","","","1","2","/9/7/9781446256541.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/COUN218 - Counselling","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
